country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,80.3,83.9,87.2,89.6,88.6,88.2,88.1,87.8,87.2,86.3,85.2,83.5,83,80.9,81.4,80.4,78.9,76.8,78.2,75.6,73.5,72.8,72.7,72.6,72.4,72.6,73.7,73.6,73.5,73.4,73.2,72.9
Albania,73.8,78.6,80.1,79.5,79.2,76.6,73.6,75.8,75.2,73.6,73,71.8,70.8,69.3,67.4,66,61.8,61,57.2,54.1,54.3,58.6,53.9,50.5,47.8,47.3,46.9,45.7,44.6,43.6,42.4,41.5
Algeria,12.3,12.4,12.5,12.2,12.1,12.9,12.3,12.7,12.8,11.9,12.3,10.9,11.1,22.5,14.2,13.4,12,10.7,10.3,8.71,7.7,6.76,4.89,9.73,9.75,9.64,9.35,8.91,8.77,8.67,8.58,8.51
Angola,48.4,46.7,52.9,51.8,51.5,49.7,48.7,46.5,47.8,46.9,45.2,46.6,45.7,44.4,45.4,46.3,46.1,47.2,51.2,54.4,58,57.7,56.4,56.1,56,56.2,57.6,57.4,57,56.5,55.8,55.2
Argentina,0.138,0.318,0.302,0.241,0.359,0.216,0.251,0.221,0.225,0.231,0.281,0.456,0.969,0.966,0.718,0.487,0.387,0.347,0.392,0.376,0.284,0.282,0.224,0.154,0.149,0.172,0.148,0.144,0.14,0.136,0.133,0.13
Armenia,40.4,37.8,50.9,53.7,54.6,52.5,50,53.8,51.5,51.6,52.4,52.2,50,48.4,47.1,45.6,43.9,45.3,45.7,47.3,45.6,44.1,44.7,40.6,40.1,38.3,39,37.7,37.1,36.4,35.8,35.2
Australia,3.91,3.75,3.74,3.62,3.6,3.5,3.58,3.46,3.48,3.43,3.45,3.03,2.62,2.68,2.45,2.37,2.29,2.22,2.22,2.28,1.89,1.92,1.67,1.83,1.85,1.69,1.64,1.59,1.55,1.51,1.46,1.41
Austria,8.54,8.1,7.89,7.99,8.19,8.59,7.73,7.23,6.96,6.38,6.28,6.08,5.78,4.86,5.29,5.29,5.62,5.23,5.2,4.99,4.66,4.24,4.18,4.57,4.21,3.93,3.89,3.79,3.71,3.62,3.54,3.47
Azerbaijan,39.5,36.1,40.3,45.4,45.2,48.3,47.3,44.8,45.6,43,42,41.9,41.8,42.6,44.6,43.3,42,40.7,44,44.4,43.9,43.9,43.5,42.7,42.1,42.1,43.4,43.6,43.6,43.1,42.7,42.1
Bahamas,1.44,1.43,1.39,1.61,1.05,1.22,1.95,1.23,0.933,1.1,1.39,1.66,0.583,0.435,0.341,0.477,0.242,0.734,0.524,1.01,1.73,1.75,1.7,1.8,1.87,1.86,1.89,1.87,1.86,1.86,1.85,1.85
Bahrain,0.207,0.213,0.188,0.188,0.179,0.183,0.186,0.179,0.189,0.194,0.19,0.148,0.117,0.092,0.085,0.075,0.065,0.058,0.051,0.05,0.051,0.048,0.047,0.044,0.043,0.045,0.046,0.047,0.047,0.047,0.047,0.046
