country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,14.8,14.9,14.9,14.9,14.9,15,14.8,14.7,14.6,14.5,14.5,14.8,15.2,15.5,15.8,16.1,15.7,15.2,14.9,14.7,14.7,15.3,16,16.9,17.8,18.7,19.4,19.5
Albania,53.6,55.8,56.1,55.3,54.5,53.5,52.9,53.6,53,52.2,51.7,51.1,50.7,49.8,48.9,48.1,47.4,46.8,46.3,44.9,45.7,47.1,48.8,44.6,44.8,47.7,47.4,47.2
Algeria,11.5,11.5,11.6,11.6,11.7,11.8,11.9,11.8,11.8,11.8,11.9,12,12.2,12.4,12.6,12.8,13.1,13.5,13.8,14.2,14.4,15.2,16.2,16.9,15.3,15.2,15.1,15.2
Angola,75.2,75.1,75,74.8,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.8,74.7,74.7,74.8,74.9,75,75.1,75.2,75.2,75.3,75.3,75.4,75.4,75.4,75.4,75.3,75.3
Argentina,44.3,45,45.8,46.4,46.9,46.8,47.4,48.2,48.7,48.7,48.9,48.9,48.4,49.2,50.1,49.4,49.9,49,48.1,48.8,46.4,48.1,48.2,47.8,47.2,47.5,47.4,47.3
Armenia,49,49,49,49,48.9,48.7,48.6,48.5,48.3,48.2,48,47.9,47.7,47.6,47.5,47.5,47.6,47.7,47.7,48.3,49.6,52.1,52,52.6,52,51.2,51.2,51.4
Australia,52.3,52,52,51.8,52.7,53.7,53.9,53.7,53.7,53.7,54.6,55.2,55.4,56.1,55.8,57,57.6,58.2,58.7,58.8,58.7,59,58.8,58.7,58.6,59.1,59.2,59.2
Austria,43.4,43.8,45,45.6,48,48.8,48.3,48.3,48.8,49,48.9,48.8,50.2,50.2,49.4,50.7,51.2,52.1,52.7,53.4,53.5,53.8,54.3,54.6,54.6,54.5,54.9,55
Azerbaijan,52.1,52.3,53.2,54.3,55.4,56.1,56.3,56.2,56,55.9,57,57.9,58.7,59.5,60.3,61.1,61.8,62.7,62.3,61.9,61.4,60.8,61.1,61.3,61.9,62.5,63,62.9
Bahamas,64.8,65.7,66.5,67.3,68,68.3,68.5,68.5,68.8,69.1,69.2,69.5,69.7,69.7,69.7,69.9,70,70.1,70,69.9,70.1,70,70.1,70.1,70,69.9,69.8,70
Bahrain,28.9,28.9,29.5,30.2,30.9,31.7,32.2,32.7,33.3,34,34.8,35.5,36.2,37,38,38.9,39.7,40.5,41.5,42.6,43.8,43,43.2,43.4,43.6,43.8,43.9,44
Bangladesh,23.1,23.2,23.4,23.6,23.9,24.3,24.7,25.2,25.7,26.2,26.7,27,27.3,27.5,27.8,28,28.1,28.6,29,29.5,30,30.5,30.9,31.4,31.9,32.4,32.9,33
Barbados,61.3,60.7,61.4,62.3,63,63.8,64.5,63.6,63.5,63.3,63.2,63.3,63.4,63.5,64.2,64.2,64.1,64,63.8,63.6,63.5,63.3,62.1,63.2,61.9,61.9,62.6,62.2
Belarus,53.2,53,52.8,52.6,52.6,52.6,52.6,52.6,52.7,52.9,53.3,53.7,54.2,54.6,55,55.4,55.8,56.2,56.7,57.1,57.5,57.8,58.1,58.3,58.5,58.6,58.7,58.4
Belgium,36.6,37.9,38.7,39.4,40.1,40.5,40.5,41,41.5,43.1,43.6,41.7,42.4,42.7,44,45.5,45.6,46.4,46.7,46.7,47.5,46.8,46.9,47.6,48,48,47.8,47.8
