country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,13,11.8,8.53,6.45,8.47,8.29,7.95,7.68,7.41,7.1,6.87,10.2,10.8,11.8,11.8,12.8,13.7,15.7,16.3,18.8,20.5,21.6,21.9,21.9,21.9,21.8,20.8,20.9,21.1,21.2,21.5,21.8
Albania,14.1,11.2,10.2,10.3,10.7,12.9,14.4,13.8,14.9,15.9,16.4,17.5,17.7,18.9,20.4,21.5,27.2,28.2,32.5,35,34.3,32.6,35.9,37.9,38.3,39.1,39.3,40.6,41.7,42.8,44,45
Algeria,52.5,52.2,51.2,51,51.8,54.1,55.4,53.9,54.7,57.1,56.4,59.1,61.8,46.5,49.8,47.6,45.5,44,40.4,41,42.1,41.5,40.4,34.8,34.4,35,34.8,35.4,35.5,35.4,35.3,35.4
Angola,49.9,51.8,45.2,46.3,46.7,48.4,49.4,51.5,50.3,51.3,53.1,51.6,52.5,53.8,53,52.2,52.5,51.5,47.4,44.4,40.9,41.1,42.3,42.6,42.8,42.5,41.1,41.3,41.7,42.2,42.8,43.4
Argentina,80.1,80.9,83.6,85.4,84.8,87.5,88.3,89.2,89.2,89.7,89.6,90.4,87.9,88.3,88.7,88.9,89.2,89.5,90,90.3,89.8,90.3,90.9,91.5,91.8,91.8,92,92.2,92.4,92.5,92.6,92.7
Armenia,38.4,43.9,37,30.9,32.8,35.1,37.6,35.5,37.1,38.5,38.5,39,41,43.2,44.2,46.2,48.3,48.2,48.9,46.9,48,48.4,48.8,51.4,52.4,54.2,53.3,54.3,55.1,56,56.7,57.4
Australia,83.6,84.2,84,84.3,84.8,85.1,85.2,85.9,86.1,86.3,87,87.4,87.8,88,88.2,88.1,88.4,88.5,88.9,89.1,89.6,89.7,90,90,90.5,90.4,90.6,90.8,91,91.1,91.2,91.4
Austria,70.8,72.2,73.6,74.8,74.3,75.8,77.7,78.5,79,79.5,79.9,81,81.2,81.8,81.8,81.3,81.4,82.5,83.4,83.5,82.9,83.1,82.8,82.7,83.7,84.1,84.1,84.4,84.6,84.9,85.1,85.3
Azerbaijan,55.6,57,52.7,48.9,48.6,45.6,47.1,49.5,49.3,52.3,53.2,52.9,52.3,51.5,50.6,52.6,54.2,53.1,50.3,49.4,49.9,49.9,50.5,51.2,52.1,51.9,50.6,50.5,50.6,51.1,51.5,52.1
Bahamas,93.4,93.5,93.8,93.1,93.6,93.1,92.2,93.4,93.6,92.9,92.5,94.1,93.9,94.5,94.6,94.5,94.4,95.1,95.8,95.2,94.3,94,94.2,93.8,94.3,94.4,94.3,94.4,94.4,94.4,94.4,94.4
